									
	Numero	Nom	Code	APICodeEntier	CaractHex	Ajouter sous Excel	Caracteristique	APICode	CodeBase
	2504	MAIDUN	1108	637	006E	n	vd alveolar nasal	n	20
	2505	MAIDUN	1108	693	006F	o	himid back rounded perif vowel	o	20
	2506	MAIDUN	1108	706	006F25BA	o►	long himid back rounded perif vowel	o…	20
	2507	MAIDUN	1108	723	0070	p	vl bilabial stp	p	20
	2508	MAIDUN	1108	724	00700027	p'	vl bilabial ejective stp	p'	20
	2509	MAIDUN	1108	786	0073	s	vl alveolar sib fricative	s	20
	2510	MAIDUN	1108	799	0074	t	vl alveolar stp	t	20
	2511	MAIDUN	1108	800	00740027	t'	vl alveolar ejective stp	t'	20
	2512	MAIDUN	1108	855	0075	u	high back rounded perif vowel	u	20
	2513	MAIDUN	1108	862	007525BA	u►	long high back rounded perif vowel	u…	20
	2514	MAIDUN	1108	894	0077	w	vd labvel approxi	w	20
	2515	MAIDUN	1108	905	0079	y	high front rounded vowel	y	20
	2516	MAIDUN	1108	906	007925BA	y►	long high front rounded vowel	y…	20
	2517	KERESAN	1109	173	003F	?	vl glottal stp	/	20
	2518	KERESAN	1109	266	222B	∫	vl postalveol sib fricative	S	20
	2519	KERESAN	1109	267	222B0027	∫'	vl postalveol sib ejective fricative	S'	20
	2520	KERESAN	1109	301	0061	a	low central unrnd perif vowel	a	20
	2521	KERESAN	1109	313	006125BA	a►	long low central unrnd perif vowel	a…	20
	2522	KERESAN	1109	365	00630027	c'	vl palatal ejective stp	c'	20
	2523	KERESAN	1109	372	006300E720150125	cç―ĥ	vl aspirate palatal affricate	cçÓ	20
	2524	KERESAN	1109	373	00630125	cĥ	vl aspirate palatal stp	cÓ	20
	2525	KERESAN	1109	420	0065	e	himid front unrnd perif vowel	e	20
	2526	KERESAN	1109	422	006525BA	e►	long himid front unrnd perif vowel	e…	20
	2527	KERESAN	1109	474	0068	h	vl glottal fricative	h	20
	2528	KERESAN	1109	485	006100B0	a°	vl low central unrnd perif vowel	a9	20
	2529	KERESAN	1109	487	006900B0	i°	vl high front unrnd perif vowel	i9	20
	2530	KERESAN	1109	531	007500B0	u°	vl high back rounded perif vowel	u9	20
	2531	KERESAN	1109	534	0069	i	high front unrnd perif vowel	i	20
	2532	KERESAN	1109	539	006925BA	i►	long high front unrnd perif vowel	i…	20
	2533	KERESAN	1109	547	00EF	ï	high central unrnd vowel	È	20
	2534	KERESAN	1109	549	00EF25BA	ï►	long high central unrnd vowel	È…	20
	2535	KERESAN	1109	570	006A	j	vd palatal approxi	j	20
	2536	KERESAN	1109	575	006B	k	vl velar stp	k	20
	2537	KERESAN	1109	576	006B0027	k'	vl velar ejective stp	k'	20
	2538	KERESAN	1109	588	006B0125	kĥ	vl aspirate velar stp	kÓ	20
	2539	KERESAN	1109	623	006D	m	vd bilabial nasal	m	20
	2540	KERESAN	1109	637	006E	n	vd alveolar nasal	n	20
	2541	KERESAN	1109	723	0070	p	vl bilabial stp	p	20
	2542	KERESAN	1109	724	00700027	p'	vl bilabial ejective stp	p'	20
	2543	KERESAN	1109	735	00700125	pĥ	vl aspirate bilabial stp	pÓ	20
	2544	KERESAN	1109	763	0072	r	vd alveolar trill	r	20
	2545	KERESAN	1109	786	0073	s	vl alveolar sib fricative	s	20
	2546	KERESAN	1109	789	0053	S	vl retro sib fricative	ß	20
	2547	KERESAN	1109	790	00530027	S'	vl retro sib ejective fricative	ß'	20
	2548	KERESAN	1109	799	0074	t	vl alveolar stp	t	20
	2549	KERESAN	1109	800	00740027	t'	vl alveolar ejective stp	t'	20
	2550	KERESAN	1109	807	005400532015	TS―	vl retro sib affricate	Êß	20
	2551	KERESAN	1109	844	00740125	tĥ	vl aspirate alveolar stp	tÓ	20
	2552	KERESAN	1109	849	007400732015	ts―	vl alveolar sib affricate	ts	20
	2553	KERESAN	1109	855	0075	u	high back rounded perif vowel	u	20
	2554	KERESAN	1109	862	007525BA	u►	long high back rounded perif vowel	u…	20
	2555	KERESAN	1109	894	0077	w	vd labvel approxi	w	20
	2556	KERESAN	1109	38	006500B0	e°	vl himid front unrnd perif vowel	e9	20
	2557	KERESAN	1109	828	00740135	tĵ	palzd vl alveolar stp	t∆	20
	2558	KERESAN	1109	955	006300E70027	cç'	vl palatal ejective affricate	cç'	20
	2559	KERESAN	1109	958	006302D9	c˙	vl palatal retro stp	c`	20
	2560	KERESAN	1109	963	00EF00B0	ï°	vl high central unrnd vowel	È9	20
	2561	KERESAN	1109	973	006A0027	j'	vd palatal ejective approxi	j'	20
	2562	KERESAN	1109	978	006D0027	m'	vd bilabial ejective nasal	m'	20
	2563	KERESAN	1109	982	006E0027	n'	vd alveolar ejective nasal	n'	20
	2564	KERESAN	1109	988	00720027	r'	vd alveolar ejective trill	r'	20
	2565	KERESAN	1109	996	00770027	w'	vd labvel ejective approxi	w'	20
	2566	ATHAPASKAN	1110	160	00E1	á	raidlo central unrnd vowel	å	20
	2567	ATHAPASKAN	1110	173	003F	?	vl glottal stp	/	20
	2568	ATHAPASKAN	1110	177	0045	E	himid central unrnd vowel	´	20
	2569	ATHAPASKAN	1110	209	0047	G	vd uvular stp	G	20
	2570	ATHAPASKAN	1110	211	00470175	Gŵ	labzd vd uvular stp	GW	20
	2571	ATHAPASKAN	1110	266	222B	∫	vl postalveol sib fricative	S	20
	2572	ATHAPASKAN	1110	273	03A9	Ω	lordhig back rounded perif vowel	U	20
	2573	ATHAPASKAN	1110	282	0058	X	vl uvular fricative	X	20
	2574	ATHAPASKAN	1110	286	005801750027	Xŵ'	labzd vl uvular ejective fricative	XW	20
	2575	ATHAPASKAN	1110	301	0061	a	low central unrnd perif vowel	a	20
	2576	ATHAPASKAN	1110	374	0064	d	vd alveolar stp	d	20
	2577	ATHAPASKAN	1110	396	0064007A2015	dz―	vd postalveol sib affricate	dZ	20
	2578	ATHAPASKAN	1110	416	0064005A2015	dZ―	vd alveolar sib affricate	dz	20
	2579	ATHAPASKAN	1110	420	0065	e	himid front unrnd perif vowel	e	20
	2580	ATHAPASKAN	1110	474	0068	h	vl glottal fricative	h	20
	2581	ATHAPASKAN	1110	498	013D	Ľ	vl alveolar laterfricativ	Ò	20
	2582	ATHAPASKAN	1110	534	0069	i	high front unrnd perif vowel	i	20
	2583	ATHAPASKAN	1110	570	006A	j	vd palatal approxi	j	20
	2584	ATHAPASKAN	1110	576	006B0027	k'	vl velar ejective stp	k'	20
	2585	ATHAPASKAN	1110	584	006B01750027	kŵ'	labzd vl velar ejective stp	kW'	20
	2586	ATHAPASKAN	1110	637	006E	n	vd alveolar nasal	n	20
	2587	ATHAPASKAN	1110	737	0071	q	vl uvular stp	q	20
	2588	ATHAPASKAN	1110	738	00710027	q'	vl uvular ejective stp	q'	20
	2589	ATHAPASKAN	1110	744	00710175	qŵ	labzd vl uvular stp	qW	20
	2590	ATHAPASKAN	1110	745	007101750027	qŵ'	labzd vl uvular ejective stp	qW'	20
	2591	ATHAPASKAN	1110	786	0073	s	vl alveolar sib fricative	s	20
	2592	ATHAPASKAN	1110	799	0074	t	vl alveolar stp	t	20
	2593	ATHAPASKAN	1110	800	00740027	t'	vl alveolar ejective stp	t'	20
	2594	ATHAPASKAN	1110	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate	tS	20
	2595	ATHAPASKAN	1110	830	007400AF222B20150027	t¯∫―'	vl postalveol sib ejective affricate	tS'	20
	2596	ATHAPASKAN	1110	849	007400732015	ts―	vl alveolar sib affricate	ts	20
	2597	ATHAPASKAN	1110	850	0074007320150027	ts―'	vl alveolar sib ejective affricate	ts'	20
	2598	ATHAPASKAN	1110	855	0075	u	high back rounded perif vowel	u	20
	2599	ATHAPASKAN	1110	894	0077	w	vd labvel approxi	w	20
	2600	ATHAPASKAN	1110	414	006401412015	dŁ―	vd alveolar affricate lateral	dl	20
	2601	ATHAPASKAN	1110	462	00670135	gĵ	palzd vd velar stp	g∆	20
	2602	ATHAPASKAN	1110	580	006B0135	kĵ	palzd vl velar stp	k∆	20
	2603	ATHAPASKAN	1110	846	0074013D2015	tĽ―	vl alveolar affricate lateral	tl	20
	2604	ATHAPASKAN	1110	847	0074013D20150027	tĽ―'	vl alveolar ejective affricate lateral	tl'	20
	2605	ATHAPASKAN	1110	901	00780135	xĵ	palzd vl velar fricative	x∆	20
	2606	ATHAPASKAN	1110	966	006701350175	gĵŵ	palzd labzd vd velar stp	g∆W	20
	2607	ATHAPASKAN	1110	975	006B01350175	kĵŵ	palzd labzd vl velar stp	k∆W	20
	2608	ATHAPASKAN	1110	998	007801350175	xĵŵ	palzd labzd vl velar fricative	x∆W	20
	2609	CHIBCHA	1111	173	003F	?	vl glottal stp	/	20
	2610	CHIBCHA	1111	215	0049	I	lordhig front unrnd perif vowel	I	20
	2611	CHIBCHA	1111	221	00492020	I†	naszd lordhig front unrnd perif vowel	I)	20
	2612	CHIBCHA	1111	273	03A9	Ω	lordhig back rounded perif vowel	U	20
	2613	CHIBCHA	1111	280	03A92020	Ω†	naszd lordhig back rounded perif vowel	U)	20
	2614	CHIBCHA	1111	301	0061	a	low central unrnd perif vowel	a	20
	2615	CHIBCHA	1111	347	00612020	a†	naszd low central unrnd perif vowel	a)	20
	2616	CHIBCHA	1111	350	0062	b	vd bilabial stp	b	20
	2617	CHIBCHA	1111	374	0064	d	vd alveolar stp	d	20
	2618	CHIBCHA	1111	420	0065	e	himid front unrnd perif vowel	e	20
	2619	CHIBCHA	1111	432	00652020	e†	naszd himid front unrnd perif vowel	e)	20
	2620	CHIBCHA	1111	439	0067	g	vd velar stp	g	20
	2621	CHIBCHA	1111	474	0068	h	vl glottal fricative	h	20
	2622	CHIBCHA	1111	534	0069	i	high front unrnd perif vowel	i	20
	2623	CHIBCHA	1111	566	00692020	i†	naszd high front unrnd perif vowel	i)	20
	2624	CHIBCHA	1111	575	006B	k	vl velar stp	k	20
	2625	CHIBCHA	1111	600	006C	l	vd alveolar laterapprox	l	20
	2626	CHIBCHA	1111	693	006F	o	himid back rounded perif vowel	o	20
	2627	CHIBCHA	1111	721	006F2020	o†	naszd himid back rounded perif vowel	o)	20
	2628	CHIBCHA	1111	723	0070	p	vl bilabial stp	p	20
	2629	CHIBCHA	1111	763	0072	r	vd alveolar trill	r	20
	2630	CHIBCHA	1111	786	0073	s	vl alveolar sib fricative	s	20
	2631	CHIBCHA	1111	799	0074	t	vl alveolar stp	t	20
	2632	CHIBCHA	1111	855	0075	u	high back rounded perif vowel	u	20
	2633	CHIBCHA	1111	886	00752020	u†	naszd high back rounded perif vowel	u)	20
	2634	CHIBCHA	1111	775	0157	ŗ	vd alveolar tap	|	20
	2635	ESKIMO-ALEUT	1112	166	010F	ď	vd alveolar fricative	D	20
	2636	ESKIMO-ALEUT	1112	177	0045	E	himid central unrnd vowel	´	20
	2637	ESKIMO-ALEUT	1112	258	0052	R	vd uvular trill	R	20
	2638	ESKIMO-ALEUT	1112	301	0061	a	low central unrnd perif vowel	a	20
	2639	ESKIMO-ALEUT	1112	364	0063	c	vl palatal stp	c	20
	2640	ESKIMO-ALEUT	1112	458	0120	Ġ	vd velar fricative	V	20
	2641	ESKIMO-ALEUT	1112	498	013D	Ľ	vl alveolar laterfricativ	Ò	20
	2642	ESKIMO-ALEUT	1112	534	0069	i	high front unrnd perif vowel	i	20
	2643	ESKIMO-ALEUT	1112	570	006A	j	vd palatal approxi	j	20
	2644	ESKIMO-ALEUT	1112	575	006B	k	vl velar stp	k	20
	2645	ESKIMO-ALEUT	1112	600	006C	l	vd alveolar laterapprox	l	20
	2646	ESKIMO-ALEUT	1112	623	006D	m	vd bilabial nasal	m	20
	2647	ESKIMO-ALEUT	1112	637	006E	n	vd alveolar nasal	n	20
	2648	ESKIMO-ALEUT	1112	224	014B	ŋ	vd velar nasal	N	20
	2649	ESKIMO-ALEUT	1112	723	0070	p	vl bilabial stp	p	20
	2650	ESKIMO-ALEUT	1112	737	0071	q	vl uvular stp	q	20
	2651	ESKIMO-ALEUT	1112	799	0074	t	vl alveolar stp	t	20
	2652	ESKIMO-ALEUT	1112	855	0075	u	high back rounded perif vowel	u	20
	2653	ESKIMO-ALEUT	1112	888	0076	v	vd labdent fricative	v	20
	2654	ESKIMO-ALEUT	1112	673	0145	Ņ	vd palatal nasal	≠	20
	2655	ESKIMO-ALEUT	1112	798	00730135	sĵ	palzd vl alveolar sib fricative	s∆	20
	2656	ESKIMO-ALEUT	1112	828	00740135	tĵ	palzd vl alveolar stp	t∆	20
	2657	CHUKOTKO-KAMCHATKAN	1113	166	010F	ď	vd alveolar fricative	D	20
	2658	CHUKOTKO-KAMCHATKAN	1113	177	0045	E	himid central unrnd vowel	´	20
	2659	CHUKOTKO-KAMCHATKAN	1113	258	0052	R	vd uvular trill	R	20
	2660	CHUKOTKO-KAMCHATKAN	1113	301	0061	a	low central unrnd perif vowel	a	20
	2661	CHUKOTKO-KAMCHATKAN	1113	326	00E6	æ	raidlo front unrnd perif vowel	œ	20
	2662	CHUKOTKO-KAMCHATKAN	1113	364	0063	c	vl palatal stp	c	20
	2663	CHUKOTKO-KAMCHATKAN	1113	420	0065	e	himid front unrnd perif vowel	e	20
	2664	CHUKOTKO-KAMCHATKAN	1113	458	0120	Ġ	vd velar fricative	V	20
	2665	CHUKOTKO-KAMCHATKAN	1113	534	0069	i	high front unrnd perif vowel	i	20
	2666	CHUKOTKO-KAMCHATKAN	1113	570	006A	j	vd palatal approxi	j	20
	2667	CHUKOTKO-KAMCHATKAN	1113	575	006B	k	vl velar stp	k	20
	2668	CHUKOTKO-KAMCHATKAN	1113	600	006C	l	vd alveolar laterapprox	l	20
	2669	CHUKOTKO-KAMCHATKAN	1113	621	03BB	λ	vd palatal laterapprox	¥	20
	2670	CHUKOTKO-KAMCHATKAN	1113	623	006D	m	vd bilabial nasal	m	20
	2671	CHUKOTKO-KAMCHATKAN	1113	637	006E	n	vd alveolar nasal	n	20
	2672	CHUKOTKO-KAMCHATKAN	1113	224	014B	ŋ	vd velar nasal	N	20
	2673	CHUKOTKO-KAMCHATKAN	1113	693	006F	o	himid back rounded perif vowel	o	20
	2674	CHUKOTKO-KAMCHATKAN	1113	723	0070	p	vl bilabial stp	p	20
	2675	CHUKOTKO-KAMCHATKAN	1113	737	0071	q	vl uvular stp	q	20
	2676	CHUKOTKO-KAMCHATKAN	1113	763	0072	r	vd alveolar trill	r	20
	2677	CHUKOTKO-KAMCHATKAN	1113	799	0074	t	vl alveolar stp	t	20
	2678	CHUKOTKO-KAMCHATKAN	1113	855	0075	u	high back rounded perif vowel	u	20
	2679	CHUKOTKO-KAMCHATKAN	1113	888	0076	v	vd labdent fricative	v	20
	2680	CHUKOTKO-KAMCHATKAN	1113	894	0077	w	vd labvel approxi	w	20
	2681	CHUKOTKO-KAMCHATKAN	1113	673	0145	Ņ	vd palatal nasal	≠	20
	2682	URALO-SIBERIAN	1114	166	010F	ď	vd alveolar fricative	D	20
	2683	URALO-SIBERIAN	1114	177	0045	E	himid central unrnd vowel	´	20
	2684	URALO-SIBERIAN	1114	301	0061	a	low central unrnd perif vowel	a	20
	2685	URALO-SIBERIAN	1114	326	00E6	æ	raidlo front unrnd perif vowel	œ	20
	2686	URALO-SIBERIAN	1114	364	0063	c	vl palatal stp	c	20
	2687	URALO-SIBERIAN	1114	420	0065	e	himid front unrnd perif vowel	e	20
	2688	URALO-SIBERIAN	1114	458	0120	Ġ	vd velar fricative	V	20
	2689	URALO-SIBERIAN	1114	534	0069	i	high front unrnd perif vowel	i	20
	2690	URALO-SIBERIAN	1114	570	006A	j	vd palatal approxi	j	20
	2691	URALO-SIBERIAN	1114	575	006B	k	vl velar stp	k	20
	2692	URALO-SIBERIAN	1114	600	006C	l	vd alveolar laterapprox	l	20
	2693	URALO-SIBERIAN	1114	621	03BB	λ	vd palatal laterapprox	¥	20
	2694	URALO-SIBERIAN	1114	623	006D	m	vd bilabial nasal	m	20
	2695	URALO-SIBERIAN	1114	637	006E	n	vd alveolar nasal	n	20
	2696	URALO-SIBERIAN	1114	224	014B	ŋ	vd velar nasal	N	20
	2697	URALO-SIBERIAN	1114	693	006F	o	himid back rounded perif vowel	o	20
	2698	URALO-SIBERIAN	1114	723	0070	p	vl bilabial stp	p	20
	2699	URALO-SIBERIAN	1114	763	0072	r	vd alveolar trill	r	20
	2700	URALO-SIBERIAN	1114	786	0073	s	vl alveolar sib fricative	s	20
	2701	URALO-SIBERIAN	1114	799	0074	t	vl alveolar stp	t	20
	2702	URALO-SIBERIAN	1114	855	0075	u	high back rounded perif vowel	u	20
	2703	URALO-SIBERIAN	1114	875	016A	Ū	high back unrnd vowel	¨	20
	2704	URALO-SIBERIAN	1114	888	0076	v	vd labdent fricative	v	20
	2705	URALO-SIBERIAN	1114	894	0077	w	vd labvel approxi	w	20
	2706	URALO-SIBERIAN	1114	905	0079	y	high front rounded vowel	y	20
	2707	URALO-SIBERIAN	1114	169	010F00B70135	ď·ĵ	palzd vd dental fricative	D∆	20
	2708	URALO-SIBERIAN	1114	673	0145	Ņ	vd palatal nasal	≠	20
	2709	URALO-SIBERIAN	1114	798	00730135	sĵ	palzd vl alveolar sib fricative	s∆	20
	2710	URALO-SIBERIAN	1114	828	00740135	tĵ	palzd vl alveolar stp	t∆	20
	2711	PROTO-POMO	1115	173	003F	?	vl glottal stp	/	20
	2712	PROTO-POMO	1115	282	0058	X	vl uvular fricative	X	20
	2713	PROTO-POMO	1115	301	0061	a	low central unrnd perif vowel	a	20
	2714	PROTO-POMO	1115	313	006125BA	a►	long low central unrnd perif vowel	a…	20
	2715	PROTO-POMO	1115	350	0062	b	vd bilabial stp	b	20
	2716	PROTO-POMO	1115	364	0063	c	vl palatal stp	c	20
	2717	PROTO-POMO	1115	365	00630027	c'	vl palatal ejective stp	c'	20
	2718	PROTO-POMO	1115	374	0064	d	vd alveolar stp	d	20
	2719	PROTO-POMO	1115	420	0065	e	himid front unrnd perif vowel	e	20
	2720	PROTO-POMO	1115	422	006525BA	e►	long himid front unrnd perif vowel	e…	20
	2721	PROTO-POMO	1115	474	0068	h	vl glottal fricative	h	20
	2722	PROTO-POMO	1115	534	0069	i	high front unrnd perif vowel	i	20
	2723	PROTO-POMO	1115	539	006925BA	i►	long high front unrnd perif vowel	i…	20
	2724	PROTO-POMO	1115	570	006A	j	vd palatal approxi	j	20
	2725	PROTO-POMO	1115	575	006B	k	vl velar stp	k	20
	2726	PROTO-POMO	1115	576	006B0027	k'	vl velar ejective stp	k'	20
	2727	PROTO-POMO	1115	588	006B0125	kĥ	vl aspirate velar stp	kÓ	20
	2728	PROTO-POMO	1115	600	006C	l	vd alveolar laterapprox	l	20
	2729	PROTO-POMO	1115	621	03BB	λ	vd palatal laterapprox	¥	20
	2730	PROTO-POMO	1115	623	006D	m	vd bilabial nasal	m	20
	2731	PROTO-POMO	1115	637	006E	n	vd alveolar nasal	n	20
	2732	PROTO-POMO	1115	693	006F	o	himid back rounded perif vowel	o	20
	2733	PROTO-POMO	1115	706	006F25BA	o►	long himid back rounded perif vowel	o…	20
	2734	PROTO-POMO	1115	724	00700027	p'	vl bilabial ejective stp	p'	20
	2735	PROTO-POMO	1115	735	00700125	pĥ	vl aspirate bilabial stp	pÓ	20
	2736	PROTO-POMO	1115	737	0071	q	vl uvular stp	q	20
	2737	PROTO-POMO	1115	738	00710027	q'	vl uvular ejective stp	q'	20
	2738	PROTO-POMO	1115	762	00710125	qĥ	vl aspirate uvular stp	qÓ	20
	2739	PROTO-POMO	1115	786	0073	s	vl alveolar sib fricative	s	20
	2740	PROTO-POMO	1115	799	0074	t	vl alveolar stp	t	20
	2741	PROTO-POMO	1115	800	00740027	t'	vl alveolar ejective stp	t'	20
	2742	PROTO-POMO	1115	844	00740125	tĥ	vl aspirate alveolar stp	tÓ	20
	2743	PROTO-POMO	1115	855	0075	u	high back rounded perif vowel	u	20
	2744	PROTO-POMO	1115	862	007525BA	u►	long high back rounded perif vowel	u…	20
	2745	PROTO-POMO	1115	894	0077	w	vd labvel approxi	w	20
	2746	PROTO-POMO	1115	898	0078	x	vl velar fricative	x	20
	2747	PROTO-POMO	1115	673	0145	Ņ	vd palatal nasal	≠	20
	2748	PROTO-POMO	1115	802	0054	T	vl retro stp	Ê	20
	2749	PROTO-POMO	1115	805	00540125	Tĥ	vl aspirate retro stp	ÊÓ	20
	2750	PROTO-POMO	1115	961	00540027	T'	vl retro ejective stp	Ê'	20
	2751	ARAWAKAN	1116	723	0070	p	vl bilabial stp		20
	2752	ARAWAKAN	1116	735	00700125	pĥ	vl aspirate bilabial stp		20
	2753	ARAWAKAN	1116	799	0074	t	vl alveolar stp		20
	2754	ARAWAKAN	1116	844	00740125	tĥ	vl aspirate alveolar stp		20
	2755	ARAWAKAN	1116	575	006B	k	vl velar stp		20
	2756	ARAWAKAN	1116	588	006B0125	kĥ	vl aspirate velar stp		20
	2757	ARAWAKAN	1116	849	007400732015	ts―	vl alveolar sib affricate		20
	2758	ARAWAKAN	1116	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate		20
	2759	ARAWAKAN	1116	350	0062	b	vd bilabial stp		20
	2760	ARAWAKAN	1116	374	0064	d	vd alveolar stp		20
	2761	ARAWAKAN	1116	396	0064007A2015	dz―	vd postalveol sib affricate		20
	2762	ARAWAKAN	1116	439	0067	g	vd velar stp		20
	2763	ARAWAKAN	1116	434	0066	f	vl labdent fricative		20
	2764	ARAWAKAN	1116	786	0073	s	vl alveolar sib fricative		20
	2765	ARAWAKAN	1116	474	0068	h	vl glottal fricative		20
	2766	ARAWAKAN	1116	623	006D	m	vd bilabial nasal		20
	2767	ARAWAKAN	1116	637	006E	n	vd alveolar nasal		20
	2768	ARAWAKAN	1116	600	006C	l	vd alveolar laterapprox		20
	2769	ARAWAKAN	1116	621	03BB	λ	vd palatal laterapprox		20
	2770	ARAWAKAN	1116	894	0077	w	vd labvel approxi		20
	2771	ARAWAKAN	1116	763	0072	r	vd alveolar trill		20
	2772	ARAWAKAN	1116	570	006A	j	vd palatal approxi		20
	2773	ARAWAKAN	1116	534	0069	i	high front unrnd perif vowel		20
	2774	ARAWAKAN	1116	547	00EF	ï	high central unrnd vowel		20
	2775	ARAWAKAN	1116	420	0065	e	himid front unrnd perif vowel		20
	2776	ARAWAKAN	1116	301	0061	a	low central unrnd perif vowel		20
	2777	ARAWAKAN	1116	693	006F	o	himid back rounded perif vowel		20
	2778	ARAWAKAN	1116	855	0075	u	high back rounded perif vowel		20
	2779	ARAWAKAN	1116	566	00692020	i†	naszd high front unrnd perif vowel		20
	2780	ARAWAKAN	1116	555	00EF2020	ï†	naszd high central unrnd vowel		20
	2781	ARAWAKAN	1116	432	00652020	e†	naszd himid front unrnd perif vowel		20
	2782	ARAWAKAN	1116	347	00612020	a†	naszd low central unrnd perif vowel		20
	2783	ARAWAKAN	1116	721	006F2020	o†	naszd himid back rounded perif vowel		20
	2784	ARAWAKAN	1116	886	00752020	u†	naszd high back rounded perif vowel		20
	2785	TUCANOAN	1117	723	0070	p	vl bilabial stp		20
	2786	TUCANOAN	1117	799	0074	t	vl alveolar stp		20
	2787	TUCANOAN	1117	575	006B	k	vl velar stp		20
	2788	TUCANOAN	1117	583	006B0175	kŵ	labzd vl velar stp		20
	2789	TUCANOAN	1117	350	0062	b	vd bilabial stp		20
	2790	TUCANOAN	1117	374	0064	d	vd alveolar stp		20
	2791	TUCANOAN	1117	439	0067	g	vd velar stp		20
	2792	TUCANOAN	1117	464	00670175	gŵ	labzd vd velar stp		20
	2793	TUCANOAN	1117	763	0072	r	vd alveolar trill		20
	2794	TUCANOAN	1117	786	0073	s	vl alveolar sib fricative		20
	2795	TUCANOAN	1117	266	222B	∫	vl postalveol sib fricative		20
	2796	TUCANOAN	1117	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate		20
	2797	TUCANOAN	1117	909	005A	Z	vd alveolar sib fricative		20
	2798	TUCANOAN	1117	293	007A	z	vd postalveol sib fricative		20
	2799	TUCANOAN	1117	416	0064005A2015	dZ―	vd alveolar sib affricate		20
	2800	TUCANOAN	1117	623	006D	m	vd bilabial nasal		20
	2801	TUCANOAN	1117	637	006E	n	vd alveolar nasal		20
	2802	TUCANOAN	1117	894	0077	w	vd labvel approxi		20
	2803	TUCANOAN	1117	570	006A	j	vd palatal approxi		20
	2804	TUCANOAN	1117	474	0068	h	vl glottal fricative		20
	2805	TUCANOAN	1117	173	003F	?	vl glottal stp		20
	2806	TUCANOAN	1117	534	0069	i	high front unrnd perif vowel		20
	2807	TUCANOAN	1117	547	00EF	ï	high central unrnd vowel		20
	2808	TUCANOAN	1117	855	0075	u	high back rounded perif vowel		20
	2809	TUCANOAN	1117	420	0065	e	himid front unrnd perif vowel		20
	2810	TUCANOAN	1117	301	0061	a	low central unrnd perif vowel		20
	2811	TUCANOAN	1117	693	006F	o	himid back rounded perif vowel		20
	2812	TUCANOAN	1117	566	00692020	i†	naszd high front unrnd perif vowel		20
	2813	TUCANOAN	1117	555	00EF2020	ï†	naszd high central unrnd vowel		20
	2814	TUCANOAN	1117	886	00752020	u†	naszd high back rounded perif vowel		20
	2815	TUCANOAN	1117	432	00652020	e†	naszd himid front unrnd perif vowel		20
	2816	TUCANOAN	1117	347	00612020	a†	naszd low central unrnd perif vowel		20
	2817	TUCANOAN	1117	721	006F2020	o†	naszd himid back rounded perif vowel		20
	2818	GUAHIBAN	1118	723	0070	p	vl bilabial stp		20
	2819	GUAHIBAN	1118	799	0074	t	vl alveolar stp		20
	2820	GUAHIBAN	1118	575	006B	k	vl velar stp		20
	2821	GUAHIBAN	1118	350	0062	b	vd bilabial stp		20
	2822	GUAHIBAN	1118	374	0064	d	vd alveolar stp		20
	2823	GUAHIBAN	1118	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate		20
	2824	GUAHIBAN	1118	786	0073	s	vl alveolar sib fricative		20
	2825	GUAHIBAN	1118	898	0078	x	vl velar fricative		20
	2826	GUAHIBAN	1118	763	0072	r	vd alveolar trill		20
	2827	GUAHIBAN	1118	600	006C	l	vd alveolar laterapprox		20
	2828	GUAHIBAN	1118	623	006D	m	vd bilabial nasal		20
	2829	GUAHIBAN	1118	637	006E	n	vd alveolar nasal		20
	2830	GUAHIBAN	1118	673	0145	Ņ	vd palatal nasal		20
	2831	GUAHIBAN	1118	894	0077	w	vd labvel approxi		20
	2832	GUAHIBAN	1118	570	006A	j	vd palatal approxi		20
	2833	GUAHIBAN	1118	474	0068	h	vl glottal fricative		20
	2834	GUAHIBAN	1118	534	0069	i	high front unrnd perif vowel		20
	2835	GUAHIBAN	1118	547	00EF	ï	high central unrnd vowel		20
	2836	GUAHIBAN	1118	855	0075	u	high back rounded perif vowel		20
	2837	GUAHIBAN	1118	420	0065	e	himid front unrnd perif vowel		20
	2838	GUAHIBAN	1118	301	0061	a	low central unrnd perif vowel		20
	2839	GUAHIBAN	1118	693	006F	o	himid back rounded perif vowel		20
	2840	TUPI-GUARANI	1119	723	0070	p	vl bilabial stp		20
	2841	TUPI-GUARANI	1119	799	0074	t	vl alveolar stp		20
	2842	TUPI-GUARANI	1119	575	006B	k	vl velar stp		20
	2843	TUPI-GUARANI	1119	623	006D	m	vd bilabial nasal		20
	2844	TUPI-GUARANI	1119	637	006E	n	vd alveolar nasal		20
	2845	TUPI-GUARANI	1119	224	014B	ŋ	vd velar nasal		20
	2846	TUPI-GUARANI	1119	186	03B2	β	vd bilabial fricative		20
	2847	TUPI-GUARANI	1119	763	0072	r	vd alveolar trill		20
	2848	TUPI-GUARANI	1119	849	007400732015	ts―	vl alveolar sib affricate		20
	2849	TUPI-GUARANI	1119	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate		20
	2850	TUPI-GUARANI	1119	173	003F	?	vl glottal stp		20
